664159	550946	183648.6667	332079.5
665845	557965	185988.3333	332922.5
597173	575538	191846	298586.5
618600	551446	183815.3333	309300
635690	608046	202682	317845
588100	557588	185862.6667	294050
582015	546191	182063.6667	291007.5
604678	574577	191525.6667	302339
572029	518313	172771	286014.5
604737	574591	191530.3333	302368.5
577728	587566	195855.3333	288864
602013	574722	191574	301006.5
627968	574625	191541.6667	313984
607269	536961	178987	303634.5
603145	574795	191598.3333	301572.5
671919	571761	190587	335959.5
612184	570393	190131	306092
600032	575310	191770	300016
627912	593892	197964	313956
601967	604428	201476	300983.5
591851	569051	189683.6667	295925.5
601444	572693	190897.6667	300722
629718	558104	186034.6667	314859
661430	603567	201189	330715
597551	556737	185579	298775.5
601182	582584	194194.6667	300591
562704	570596	190198.6667	281352
605107	563429	187809.6667	302553.5
607214	575069	191689.6667	303607
568824	570203	190067.6667	284412
612485	518009	172669.6667	306242.5
589244	573777	191259	294622
625579	551084	183694.6667	312789.5
560237	500154	166718	280118.5
626224	569687	189895.6667	313112
610666	551701	183900.3333	305333
597428	569940	189980	298714
600582	599535	199845	300291
604168	555003	185001	302084
613871	550423	183474.3333	306935.5
617310	551945	183981.6667	308655
625728	579460	193153.3333	312864
606300	566708	188902.6667	303150
638559	558807	186269	319279.5
582176	630383	210127.6667	291088
544056	577786	192595.3333	272028
631297	578351	192783.6667	315648.5
561574	621747	207249	280787
604973	574773	191591	302486.5
605284	556134	185378	302642
617910	592293	197431	308955
555904	640401	213467	277952
526559	509417	169805.6667	263279.5
603849	572396	190798.6667	301924.5
598634	619900	206633.3333	299317
603359	589262	196420.6667	301679.5
657455	567754	189251.3333	328727.5
614279	599251	199750.3333	307139.5
578496	631434	210478	289248
645171	595209	198403	322585.5
688015	533535	177845	344007.5
656477	573007	191002.3333	328238.5
540029	563888	187962.6667	270014.5
597418	538362	179454	298709
613545	574733	191577.6667	306772.5
628696	542447	180815.6667	314348
604157	574191	191397	302078.5
603126	497987	165995.6667	301563
605850	533310	177770	302925
596179	529556	176518.6667	298089.5
610330	552628	184209.3333	305165
598184	531473	177157.6667	299092
620438	511694	170564.6667	310219
600202	622079	207359.6667	300101
603021	577991	192663.6667	301510.5
515612	540643	180214.3333	257806
606548	574376	191458.6667	303274
593490	623110	207703.3333	296745
607084	595500	198500	303542
583728	563146	187715.3333	291864
616044	533807	177935.6667	308022
624452	584622	194874	312226
604438	574666	191555.3333	302219
625709	660145	220048.3333	312854.5
601376	579831	193277	300688
565148	557305	185768.3333	282574
639418	537903	179301	319709
612799	537497	179165.6667	306399.5
583653	652182	217394	291826.5
599808	596484	198828	299904
605250	573272	191090.6667	302625
606738	601356	200452	303369
611044	571814	190604.6667	305522
575440	568511	189503.6667	287720
616329	529516	176505.3333	308164.5
605927	572533	190844.3333	302963.5
609286	586782	195594	304643
647354	579190	193063.3333	323677
606929	571420	190473.3333	303464.5
562920	559223	186407.6667	281460
680357	620811	206937	340178.5
707100	601463	200487.6667	353550
604294	574368	191456	302147
614917	600946	200315.3333	307458.5
611508	503220	167740	305754
603789	574474	191491.3333	301894.5
551740	588768	196256	275870
546031	570429	190143	273015.5
569197	559307	186435.6667	284598.5
688712	568754	189584.6667	344356
604067	574091	191363.6667	302033.5
606809	572101	190700.3333	303404.5
588597	622592	207530.6667	294298.5
613840	534167	178055.6667	306920
576263	547239	182413	288131.5
597077	568196	189398.6667	298538.5
601339	571609	190536.3333	300669.5
606011	569426	189808.6667	303005.5
593398	559764	186588	296699
593166	622725	207575	296583
609796	532982	177660.6667	304898
712648	607541	202513.6667	356324
585048	505097	168365.6667	292524
525967	565687	188562.3333	262983.5
660327	585901	195300.3333	330163.5
607604	573951	191317	303802
604001	573587	191195.6667	302000.5
591484	571087	190362.3333	295742
613868	585089	195029.6667	306934
645464	660478	220159.3333	322732
538571	654649	218216.3333	269285.5
555429	604551	201517	277714.5
597620	586226	195408.6667	298810
586097	567445	189148.3333	293048.5
545235	539822	179940.6667	272617.5
649088	575733	191911	324544
599123	616977	205659	299561.5
563763	559454	186484.6667	281881.5
617717	613939	204646.3333	308858.5
618869	577243	192414.3333	309434.5
567188	560044	186681.3333	283594
636628	533309	177769.6667	318314
560362	567914	189304.6667	280181
595014	632844	210948	297507
605876	550640	183546.6667	302938
604352	573425	191141.6667	302176
600679	599545	199848.3333	300339.5
596891	579476	193158.6667	298445.5
614943	540976	180325.3333	307471.5
604415	571400	190466.6667	302207.5
603698	573585	191195	301849
658199	568743	189581	329099.5
598759	582942	194314	299379.5
671269	590258	196752.6667	335634.5
593317	534085	178028.3333	296658.5
657985	453405	151135	328992.5
608557	590278	196759.3333	304278.5
623004	508050	169350	311502
601900	569391	189797	300950
641031	593074	197691.3333	320515.5
589658	640498	213499.3333	294829
567565	573952	191317.3333	283782.5
559078	570088	190029.3333	279539
639431	588155	196051.6667	319715.5
566609	537592	179197.3333	283304.5
568570	579335	193111.6667	284285
660650	615038	205012.6667	330325
667639	571164	190388	333819.5
596796	529933	176644.3333	298398
606111	617846	205948.6667	303055.5
616060	590779	196926.3333	308030
602873	527864	175954.6667	301436.5
571334	594145	198048.3333	285667
602167	543919	181306.3333	301083.5
605100	573307	191102.3333	302550
546640	560043	186681	273320
585195	555011	185003.6667	292597.5
651740	589474	196491.3333	325870
589112	536573	178857.6667	294556
582057	543124	181041.3333	291028.5
690968	555952	185317.3333	345484
609030	552436	184145.3333	304515
632125	541413	180471	316062.5
603445	630598	210199.3333	301722.5
628264	616214	205404.6667	314132
577242	574073	191357.6667	288621
604090	574392	191464	302045
607911	576556	192185.3333	303955.5
600665	638890	212963.3333	300332.5
600117	539079	179693	300058.5
631182	565466	188488.6667	315591
695646	652231	217410.3333	347823
619445	567491	189163.6667	309722.5
